" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"05058 CEPEDA LA MORA",          65,        2698,          56,          47,           9,        2448,         772,          80,           1,          14,  477792.603,
,"05059 CILLAN",          78,        1039,          23,          19,           4,         976,         552,          99,           4,          25,  236912.961,
,"05060 CISLA",          56,        2391,        2339,        2132,         207,        2382,         479,          72,           5,          75,  748806.991,
,"05061 COLILLA (LA)",          88,         951,         501,         483,          19,         590,         379,         101,           4,          27,  204638.611,
,"05062 COLLADO DE CONTRERAS",          70,        2459,        2432,        2239,         193,        2452,         436,          83,           3,          83,  752352.962,
,"05063 COLLADO DEL MIRON",          48,         552,           7,           1,           6,         243,         205,          61,           1,           6,   77548.592,
,"05064 CONSTANZANA",          62,        1697,        1674,        1248,         426,        1694,         363,          74,           1,         104,   818752.78,
,"05065 CRESPOS",         114,        2878,        2684,        2666,          18,        2828,        1809,         143,          11,         108,  959918.503,
,"05066 CUEVAS DEL VALLE",         301,        1853,         121,          65,          55,        1380,         148,         516,           2,          57,  101084.226,
,"05067 CHAMARTIN",          51,        1356,         116,         113,           3,         959,         283,          53,           4,          26,  142475.929,
,"05069 DONJIMENO",          38,        1596,        1526,        1085,         441,        1585,         301,          48,           2,          75,  843917.156,
,"05070 DONVIDAS",          24,         689,         668,         593,          75,         670,         148,          37,           3,          33,  240867.621,
,"05072 ESPINOSA DE LOS CABALLEROS",          41,         995,         817,         695,         122,         817,         235,          67,           1,          43,  298594.834,
,"05073 FLORES DE AVILA",         125,        4251,        3898,        3837,          60,        4244,        1449,         148,           3,         115, 1256145.349,
,"05074 FONTIVEROS",         129,        2261,        2124,        1917,         207,        2204,         601,         156,           4,          93,  695599.389,
,"05075 FRESNEDILLA",          77,        2330,          20,          19,           1,        2050,         636,          86,           1,          25,   252220.74,
,"05076 FRESNO (EL)",         186,        1420,         699,         667,          32,        1117,         998,         208,          14,          41,  487781.424,
,"05077 FUENTE EL SAUZ",          56,        1194,        1166,        1020,         146,        1189,         184,          63,           4,          60,    423515.2,
