" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"34046 CARDEÑOSA DE VOLPEJERA",          15,         869,         868,         855,          13,         868,         105,          18,           2,          22,  212602.022,
,"34047 CARRION DE LOS CONDES",         107,        4506,        3963,        3629,         334,        4127,        1040,         141,          22,         155, 1379112.425,
,"34048 CASTIL DE VELA",          34,        1944,        1937,        1679,         258,        1938,         158,          46,           .,          58,  577590.663,
,"34049 CASTREJON DE LA PEÑA",         110,        7713,        2841,        2837,           3,        3039,         895,         160,          10,         200,  753849.483,
,"34050 CASTRILLO DE DON JUAN",          76,        4133,        2859,        2801,          58,        2863,         233,          78,           4,          85,  720319.017,
,"34051 CASTRILLO DE ONIELO",          41,        2936,        2376,        2281,          95,        2573,         226,          45,           4,          65,  698965.057,
,"34052 CASTRILLO DE VILLAVEGA",          42,        2673,        2595,        2545,          50,        2595,         204,          61,           5,          51,  608927.434,
,"34053 CASTROMOCHO",          44,        3779,        3702,        3417,         285,        3776,         290,          54,          15,          65,  907558.328,
,"34055 CERVATOS DE LA CUEZA",          77,        5506,        4912,        4903,           9,        4946,         382,          96,           5,          94,   917084.37,
,"34056 CERVERA DE PISUERGA",         253,       28510,        1763,        1678,          84,        3431,        2802,         335,          37,         451,  1481639.08,
,"34057 CEVICO DE LA TORRE",         119,        4633,        3510,        3400,         110,        3510,         357,         132,           7,          82,  913688.652,
,"34058 CEVICO NAVERO",          74,        3385,        2100,        2068,          32,        2100,         262,          75,           2,          57,   559602.37,
,"34059 CISNEROS",         118,        4697,        4685,        4683,           2,        4695,         401,         141,           9,          98, 1030507.374,
,"34060 COBOS DE CERRATO",          74,        3942,        2728,        2705,          23,        3351,         518,          87,           5,          56,   855991.49,
,"34061 COLLAZOS DE BOEDO",          40,        1553,        1152,        1074,          79,        1163,         243,          72,           2,          62,  283605.592,
,"34062 CONGOSTO DE VALDAVIA",          66,        5762,        1888,        1771,         117,        2058,         558,          98,          19,          80,  457165.867,
,"34063 CORDOVILLA LA REAL",          11,        3120,        1679,        1111,         568,        1786,         697,           6,          30,          38,  676859.832,
,"34066 CUBILLAS DE CERRATO",          39,        1966,        1562,        1525,          37,        1617,         110,          38,           6,          28,  402449.725,
,"34067 DEHESA DE MONTEJO",          27,        2305,         568,         557,          10,         766,         539,          40,           5,          73,  291238.446,
,"34068 DEHESA DE ROMANOS",          19,        1716,         787,         777,          10,         788,          91,          30,           2,          27,  184781.171,
,"34069 DUEÑAS",         178,        8823,        6613,        5776,         837,        6632,        3293,         200,          57,         186, 2534942.844,
,"34070 ESPINOSA DE CERRATO",          80,        5074,        5023,        5023,           1,        5023,         321,          84,           1,         123, 1270996.358,
,"34071 ESPINOSA DE VILLAGONZALO",          53,        4179,        3676,        3624,          53,        3676,         167,          62,           5,          63,  769860.445,
,"34072 FRECHILLA",         112,        3386,        3379,        3379,           .,        3379,         275,         114,           5,          54,  761229.911,
,"34073 FRESNO DEL RIO",          64,        4147,        1493,        1403,          90,        1526,         305,          83,           2,          58,  226665.705,
,"34074 FROMISTA",          72,        4197,        4197,        3385,         812,        4197,         371,          88,          31,          98, 1290264.806,
,"34076 FUENTES DE NAVA",         197,        5917,        5589,        4918,         671,        5908,         982,         257,           6,         186, 1815555.395,
,"34077 FUENTES DE VALDEPERO",          57,        3751,        3097,        3059,          37,        3169,         154,          61,          10,          44,  712283.485,
,"34079 GRIJOTA",          81,        2009,        1962,         641,        1321,        1972,        1025,          94,          31,         133, 1067163.103,
,"34080 GUARDO",         106,        4941,         699,         682,          16,         922,         888,         123,           9,          82,   339127.09,
,"34081 GUAZA DE CAMPOS",          53,        3098,        3088,        3088,           .,        3089,         107,          64,           3,          46,  644681.644,
,"34082 HERMEDES DE CERRATO",          50,        2911,        2513,        2477,          36,        2513,         237,          47,           5,          59,  653829.048,
,"34083 HERRERA DE PISUERGA",         184,        8995,        5789,        5218,         571,        5794,         841,         249,          21,         242, 2004411.429,
,"34084 HERRERA DE VALDECAÑAS",          46,        2585,        2270,        2127,         143,        2296,         130,          51,           3,          51,  696975.707,
,"34086 HONTORIA DE CERRATO",          35,        2510,        1661,        1457,         204,        1661,          85,          35,          13,          35,  512296.708,
,"34087 HORNILLOS DE CERRATO",          75,        2429,        1707,        1686,          22,        1777,         181,          80,           4,          29,  455861.671,
,"34088 HUSILLOS",          70,        1646,        1293,         336,         958,        1297,         143,          65,          21,          48,  554848.365,
,"34089 ITERO DE LA VEGA",          60,        1915,        1811,        1260,         551,        1811,         279,          82,           4,         100,  723858.979,
,"34091 LAGARTOS",          46,        3830,        2005,        2005,           .,        2020,         567,          73,           3,          72,  431238.205,
,"34092 LANTADILLA",          72,        3878,        3772,        3387,         385,        3772,         988,          88,           7,         121, 1331241.811,
,"34093 VID DE OJEDA (LA)",          45,        1782,        1293,        1218,          75,        1600,         374,          80,           1,         103,  460008.655,
,"34094 LEDIGOS",          28,        2748,        1582,        1582,           .,        1613,         320,          42,           1,          42,   268610.34,
,"34096 LOMAS",          26,        1489,        1482,        1392,          90,        1482,         151,          28,           4,          39,  387977.354,
,"34098 MAGAZ DE PISUERGA",          52,        2365,        1902,        1507,         395,        1917,          74,          60,           6,          47,  594052.384,
,"34099 MANQUILLOS",          31,         548,         533,         148,         385,         533,         251,          46,           1,          17,  279506.689,
,"34100 MANTINOS",          47,        2053,         383,         318,          65,         427,         200,          57,           4,          29,  130137.151,
,"34101 MARCILLA DE CAMPOS",          18,        2183,        2177,        2151,          26,        2177,          22,          16,           8,          45,  542972.365,
,"34102 MAZARIEGOS",          44,        2472,        2392,        2176,         216,        2468,         428,          48,           4,          76,  729730.867,
,"34103 MAZUECOS DE VALDEGINATE",          59,        2121,        2114,        2114,           .,        2114,         190,          73,           1,          43,  440367.579,
,"34104 MELGAR DE YUSO",          59,        2133,        1824,        1240,         584,        1824,        1061,          83,          13,         105, 1041103.218,
,"34106 MENESES DE CAMPOS",          27,        3214,        3212,        3191,          20,        3212,         923,          32,           7,          58,  589088.024,
,"34107 MICIECES DE OJEDA",          46,        2128,        1208,        1167,          40,        1772,         284,          80,           2,          66,  300193.526,
,"34108 MONZON DE CAMPOS",          51,        3042,        2577,        2036,         542,        2682,         236,          60,           3,          88,  914199.512,
,"34109 MORATINOS",          30,        2802,        2651,        2648,           3,        2653,          46,          44,           6,          78,  529076.966,
,"34110 MUDA",          35,         148,          12,          12,           .,          96,          70,          41,           1,           7,   36950.224,
,"34112 NOGAL DE LAS HUERTAS",          27,        1086,         838,         762,          76,         838,         133,          41,           2,          23,  291178.344,
,"34113 OLEA DE BOEDO",           8,         669,         558,         537,          21,         558,          62,          13,           1,          12,  133358.576,
,"34114 OLMOS DE OJEDA",         163,        7667,        3943,        3698,         245,        5276,         647,         256,          14,         245, 1194920.246,
,"34116 OSORNILLO",          22,         986,         929,         890,          39,         929,          59,          30,           2,          19,   247749.21,
,"34120 PALENCIA",         468,        6071,        3714,        3014,         701,        3770,        1650,         597,          75,         366, 1741011.864,
,"34121 PALENZUELA",          81,        3489,        2712,        2290,         421,        2858,         252,         120,           8,          79,   984127.27,
,"34122 PARAMO DE BOEDO",          29,        1825,        1578,        1486,          91,        1778,          85,          49,           3,          45,  453722.068,
,"34123 PAREDES DE NAVA",         453,       11532,       11255,        9340,        1915,       11355,        1761,         493,          26,         283, 3227717.476,
,"34124 PAYO DE OJEDA",          32,        1765,        1298,        1265,          33,        1342,         195,          50,           1,          71,  248933.204,
,"34125 PEDRAZA DE CAMPOS",          42,        3039,        2858,        2830,          28,        2858,         105,          42,           5,          39,  641093.602,
,"34126 PEDROSA DE LA VEGA",          83,        1844,        1602,        1208,         394,        1666,        1657,         151,          10,         210, 1075559.242,
,"34127 PERALES",          55,        2733,        2513,        1981,         531,        2513,         122,          62,          14,          52,   672815.02,
,"34129 PINO DEL RIO",         103,        4481,        1495,        1306,         189,        1528,         411,         143,           3,          88,  313097.256,
,"34130 PIÑA DE CAMPOS",          45,        1526,        1499,        1041,         458,        1501,         261,          57,           9,          57,  557829.385,
,"34131 POBLACION DE ARROYO",          23,        1351,        1164,        1164,           .,        1219,         239,          33,           4,          41,  277126.681,
,"34132 POBLACION DE CAMPOS",          55,        2223,        2213,        2013,         201,        2216,         190,          66,           7,          53,  650186.915,
,"34133 POBLACION DE CERRATO",          40,        1737,        1387,        1333,          54,        1602,          75,          43,           1,          45,  382976.933,
,"34134 POLENTINOS",          18,        1269,           1,           1,           .,         387,         241,          44,           1,          58,   97742.599,
,"34135 POMAR DE VALDIVIA",         164,        7905,        2124,        2002,         122,        2977,         674,         223,          26,         265,  748344.212,
,"34136 POZA DE LA VEGA",          64,        1046,         889,         652,         237,         893,         725,          97,           2,         118,  484499.898,
,"34137 POZO DE URAMA",          18,         945,         945,         917,          28,         945,         103,          22,           3,          22,  242484.344,
,"34139 PRADANOS DE OJEDA",          36,        1733,         901,         898,           3,        1322,         276,          53,           4,          54,  303168.536,
,"34140 PUEBLA DE VALDAVIA (LA)",          40,        2472,         922,         849,          73,         929,         207,          59,           1,          42,  202865.626,
,"34141 QUINTANA DEL PUENTE",          17,         647,         587,         287,         301,         587,         198,          20,           8,          29,  310548.964,
,"34143 QUINTANILLA DE ONSOÑA",          70,        3914,        3528,        3518,          10,        3535,         448,          96,           6,          99,  905953.626,
,"34146 REINOSO DE CERRATO",          19,        1323,        1163,        1032,         131,        1198,          32,          18,           7,          34,  348400.707,
,"34147 RENEDO DE LA VEGA",          64,         960,         954,         202,         753,         958,         773,          96,           2,         111,  667033.284,
,"34149 REQUENA DE CAMPOS",          23,         891,         888,         843,          46,         888,           .,          23,           1,          18,  242911.062,
,"34151 RESPENDA DE LA PEÑA",          74,        5545,        1715,        1673,          42,        1811,         448,         100,           9,         111,  368961.331,
,"34152 REVENGA DE CAMPOS",          42,        2408,        2355,        2286,          69,        2397,         422,          49,          23,          58,  701687.642,
,"34154 REVILLA DE COLLAZOS",          21,        2397,         831,         747,          84,         831,          61,          32,           1,          31,  148269.686,
,"34155 RIBAS DE CAMPOS",          20,        1050,         988,         400,         588,         988,         802,          20,          30,          50,  652987.631,
,"34156 RIBEROS DE LA CUEZA",          19,        1946,        1928,        1909,          19,        1928,         163,          26,           3,          30,  347276.814,
,"34157 SALDAÑA",         203,       11204,        5929,        5777,         152,        5959,        1454,         247,          33,         180, 1339259.313,
,"34158 SALINAS DE PISUERGA",          62,        1534,         241,         228,          13,         759,         186,          69,           5,          44,  135474.138,
,"34159 SAN CEBRIAN DE CAMPOS",          75,        2072,        2055,         984,        1071,        2055,         480,          86,           6,         115,  957117.786,
,"34160 SAN CEBRIAN DE MUDA",          88,        3466,          21,          19,           2,         804,         276,          98,           7,          47,  114739.221,
,"34161 SAN CRISTOBAL DE BOEDO",          15,        1135,         835,         835,           .,         835,          64,          19,           1,          19,  211586.311,
,"34163 SAN MAMES DE CAMPOS",          18,        1542,        1534,        1534,           .,        1534,          41,          22,           4,          22,   383295.47,
,"34165 SAN ROMAN DE LA CUBA",          36,        2301,        2276,        2276,           .,        2276,         216,          42,           1,          43,  528163.427,
,"34167 SANTA CECILIA DEL ALCOR",          28,        2117,        1592,        1570,          22,        1863,         217,          26,           3,          44,  443114.204,
,"34168 SANTA CRUZ DE BOEDO",          17,        1964,        1362,        1345,          17,        1362,          23,          19,           2,          23,  322016.275,
,"34169 SANTERVAS DE LA VEGA",         125,        4510,        3319,        2930,         390,        3319,        1193,         175,           4,         224,  942260.767,
,"34170 SANTIBAÑEZ DE ECLA",          22,        2185,         656,         655,           1,         834,         267,          42,           2,          96,  222602.863,
,"34171 SANTIBAÑEZ DE LA PEÑA",         306,        8393,         780,         762,          18,        1214,         653,         370,          15,         190,  390369.382,
,"34174 SANTOYO",          51,        2306,        2069,        1690,         379,        2076,         420,          64,           4,          90,  667297.729,
,"34175 SERNA (LA)",          40,        1033,        1033,         774,         258,        1033,         494,          49,           .,          75,  482690.851,
,"34176 SOTOBAÑADO Y PRIORATO",          43,        2178,        1593,        1528,          65,        1593,         268,          58,           3,          49,  450909.331,
,"34177 SOTO DE CERRATO",          32,        1294,        1187,         692,         495,        1193,          50,          40,           4,          61,  530008.534,
,"34178 TABANERA DE CERRATO",          47,        4736,        3961,        3944,          17,        3963,          95,          52,           2,          43, 1015968.892,
,"34179 TABANERA DE VALDAVIA",          19,        1916,         535,         532,           3,         544,         154,          25,           1,          24,   87789.838,
,"34180 TAMARA DE CAMPOS",          26,        1375,        1207,        1117,          90,        1224,         126,          26,           6,          28,  304971.572,
,"34181 TARIEGO DE CERRATO",          84,        2057,         973,         714,         259,        1014,         175,          86,          12,          62,  334721.671,
,"34182 TORQUEMADA",          96,        6783,        6097,        4717,        1380,        6099,        1435,         128,          13,         181, 2127703.052,
,"34184 TORREMORMOJON",          18,        2381,        2238,        2238,           .,        2379,         275,          22,          11,          34,  287626.363,
,"34185 TRIOLLO",          24,        5210,           .,           .,           .,         234,         450,          34,           3,          29,   134037.72,
,"34186 VALBUENA DE PISUERGA",          26,        3321,        1657,        1562,          95,        1751,         161,          30,          14,          24,  483580.349,
,"34189 VALDEOLMILLOS",          27,        2356,        1881,        1871,          10,        2020,           1,          27,           2,          30,  450109.985,
,"34190 VALDERRABANO",          37,        2135,        1518,        1506,          12,        1670,         230,          42,           5,          42,  308703.857,
,"34192 VALDE-UCIEZA",          65,        3760,        3749,        3739,          10,        3749,         453,          97,           5,         110, 1025080.235,
,"34196 VALLE DE CERRATO",          43,        3635,        2005,        1949,          57,        2005,         200,          42,           2,          39,  530988.184,
,"34199 VELILLA DEL RIO CARRION",         179,       14704,          38,          34,           4,         669,         664,         241,           7,         129,  300674.336,
,"34201 VERTAVILLO",          70,        5722,        3250,        3157,          93,        3440,         465,          73,           4,         100,  919440.338,
,"34202 VILLABASTA DE VALDAVIA",          12,         775,         339,         336,           3,         339,         139,          14,           1,          16,  103205.799,
,"34204 VILLACIDALER",          43,        1595,        1593,        1593,           .,        1593,          97,          43,           .,          18,  355727.044,
,"34205 VILLACONANCIO",          44,        3002,        2287,        2268,          19,        2287,         133,          43,           3,          36,  590692.727,
,"34206 VILLADA",          79,        7878,        7781,        7540,         241,        7809,         564,          86,          49,          92, 1754402.414,
,"34208 VILLAELES DE VALDAVIA",          25,        1924,         806,         785,          21,         807,         162,          32,           4,          33,    206531.8,
,"34210 VILLAHAN",          33,        3133,        2928,        2783,         145,        2928,         107,          36,          12,          44,  799712.716,
,"34211 VILLAHERREROS",          55,        3647,        3599,        3575,          24,        3599,         202,          74,           9,          66,  940716.166,
,"34213 VILLALACO",          14,        1392,         642,         545,          97,         645,          74,          16,           2,          18,   209512.82,
,"34214 VILLALBA DE GUARDO",          35,        2434,        1046,         971,          76,        1089,         288,          47,           1,          41,  199067.229,
,"34215 VILLALCAZAR DE SIRGA",          41,        2167,        2161,        2158,           3,        2161,         305,          47,          10,          40,   587867.97,
,"34216 VILLALCON",          25,        1946,        1942,        1942,           .,        1946,          99,          36,           .,          32,  438636.664,
,"34217 VILLALOBON",          74,        1513,        1266,        1199,          66,        1266,         128,          86,           7,          40,  354825.526,
,"34218 VILLALUENGA DE LA VEGA",         149,        2565,        2477,        1315,        1162,        2544,        2673,         310,          13,         349, 1808866.131,
,"34220 VILLAMARTIN DE CAMPOS",          54,        2402,        2364,        2257,         107,        2375,         333,          55,           8,          51,  618309.233,
,"34221 VILLAMEDIANA",          43,        4791,        3116,        2795,         320,        3648,         112,          47,           2,          66,  950981.453,
,"34222 VILLAMERIEL",          36,        4484,        2441,        2431,          10,        2442,         266,          60,           2,          42,   556104.48,
,"34223 VILLAMORONTA",          62,        2653,        2336,        1713,         623,        2336,        1339,         105,          10,         157, 1076707.175,
,"34224 VILLAMUERA DE LA CUEZA",          24,        1982,        1873,        1849,          24,        1873,         177,          34,           7,          37,  429134.663,
,"34225 VILLAMURIEL DE CERRATO",          99,        2547,        1971,        1541,         430,        1972,         750,         125,          27,         131, 1052095.729,
,"34227 VILLANUEVA DEL REBOLLAR",          31,        1835,        1805,        1802,           3,        1834,         242,          33,           5,          33,  462947.604,
,"34228 VILLANUÑO DE VALDAVIA",          29,        2197,        1048,        1019,          30,        1070,         157,          35,           3,          25,  292254.156,
,"34229 VILLAPROVEDO",          30,        2811,        1951,        1948,           3,        1951,          43,          32,           2,          29,  463590.687,
,"34230 VILLARMENTERO DE CAMPOS",           6,         758,         739,         695,          44,         754,          34,           7,           1,          14,  189294.772,
,"34231 VILLARRABE",          86,        4876,        4042,        4019,          22,        4394,        1113,         124,          11,         108,  749582.297,
,"34232 VILLARRAMIEL",          65,        3457,        3451,        3398,          54,        3451,         551,          87,          23,          82,   919578.57,
,"34233 VILLASARRACINO",          42,        1900,        1883,        1883,           .,        1884,         101,          60,           4,          41,  479932.206,
,"34234 VILLASILA DE VALDAVIA",          30,        2524,        1003,         964,          39,        1007,         220,          42,           1,          53,  286556.561,
,"34236 VILLATURDE",          87,        2108,        1989,        1752,         237,        2010,         761,         125,           9,         106,  791851.478,
,"34237 VILLAUMBRALES",         162,        3990,        3960,        2915,        1045,        3989,        1791,         226,          11,         289, 1480292.813,
,"34238 VILLAVIUDAS",          87,        3554,        3370,        2991,         379,        3397,         227,         109,          10,         115, 1082855.529,
,"34240 VILLERIAS DE CAMPOS",          32,        2942,        2942,        2942,           .,        2942,         160,          41,           6,          54,  459233.349,
,"34241 VILLODRE",          20,         639,         536,         379,         157,         554,         160,          22,           5,          26,  254071.857,
,"34242 VILLODRIGO",          12,         924,         816,         749,          67,         841,          98,          17,           5,          19,  261127.739,
,"34243 VILLOLDO",          74,        3148,        3082,        1239,        1843,        3107,         610,          83,          14,         114, 1234635.126,
,"34245 VILLOTA DEL PARAMO",         112,        6002,        2276,        2210,          66,        2336,        1115,         174,          10,         180,  523385.381,
,"34246 VILLOVIECO",          29,        1490,        1472,        1461,          11,        1490,          91,          43,           2,          31,  377393.531,
,"34901 OSORNO LA MAYOR",         127,        8764,        8072,        7516,         556,        8228,         890,         188,          21,         195, 2288581.972,
,"34902 VALLE DEL RETORTILLO",         118,        6354,        6329,        6304,          25,        6337,         484,         121,          19,         126, 1423983.989,
,"34903 LOMA DE UCIEZA",          64,        5531,        4531,        4471,          60,        4531,        1360,          93,           8,         108,  1403687.81,
,"34904 PERNIA (LA)",         121,       14012,          14,          10,           3,        1987,        1984,         241,          19,         232,  680045.196,
,"37001 ABUSEJO",          40,        1653,         664,         663,           1,        1653,         495,          55,           1,          24,  275119.301,
,"37002 AGALLAS",         106,        3882,         570,         567,           3,        1619,         363,         140,           5,           8,  247881.432,
,"37003 AHIGAL DE LOS ACEITEROS",          62,        2164,         886,         886,           .,        1626,         381,          88,           2,          10,  230343.899,
,"37004 AHIGAL DE VILLARINO",          18,        2204,         105,         105,           .,        1686,         799,          35,           1,          10,  292302.237,
,"37005 ALAMEDA DE GARDON (LA)",          66,        1759,         473,         473,           .,        1367,         511,          79,           1,          22,  258104.648,
,"37006 ALAMEDILLA (LA)",          29,        1319,          79,          78,           2,        1121,         396,          32,           .,           7,  149694.085,
,"37007 ALARAZ",         148,        4741,        2604,        2577,          27,        4039,        3289,         156,          14,         117, 1457688.748,
,"37008 ALBA DE TORMES",         304,        3489,        2544,        2034,         509,        3156,        3228,         308,          25,         135, 1743884.702,
,"37009 ALBA DE YELTES",          64,        1432,         222,         182,          39,        1362,         738,          82,           2,          22,  340389.215,
,"37010 ALBERCA (LA)",         222,        5311,          98,          74,          24,         131,          92,         458,          14,           1,   72061.351,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",          57,        2194,          13,          12,           1,        1869,         365,          68,           3,          14,  142313.656,
,"37012 ALCONADA",          45,        1761,        1746,        1358,         388,        1747,         294,          60,          53,          56,  593313.139,
,"37013 ALDEACIPRESTE",         104,        2231,           3,           3,           .,        2170,        1227,         135,          10,          19,  439123.484,
,"37014 ALDEADAVILA DE LA RIBERA",         343,        3712,         822,         821,           1,        2046,         659,         479,           3,          51,  383938.553,
,"37015 ALDEA DEL OBISPO",          94,        3356,         577,         573,           4,        1997,        1449,         147,           8,          26,  496279.735,
,"37016 ALDEALENGUA",          25,         293,         265,         202,          62,         265,          17,          28,           1,          23,  127228.252,
,"37017 ALDEANUEVA DE FIGUEROA",          94,        4167,        3557,        3468,          89,        3919,         479,         145,           9,         114,  926376.017,
,"37018 ALDEANUEVA DE LA SIERRA",          61,        1263,          86,          83,           3,         261,         214,          58,          11,           7,   65708.653,
,"37019 ALDEARRODRIGO",          35,         819,         522,         492,          29,         625,         411,          53,           4,          18,  251301.191,
,"37020 ALDEARRUBIA",         131,        2353,        2315,        1516,         799,        2351,         257,         188,           5,          98,  966553.676,
,"37021 ALDEASECA DE ALBA",          53,        1715,        1602,        1559,          43,        1712,         469,          56,           1,          48,  492998.209,
,"37022 ALDEASECA DE LA FRONTERA",          90,        2085,        2036,        1849,         187,        2082,         670,         117,           7,          80,  803589.244,
,"37023 ALDEATEJADA",          50,        2892,        1522,        1451,          72,        2812,        2879,          50,          36,          63, 1062090.561,
,"37024 ALDEAVIEJA DE TORMES",          29,         900,          28,          28,           .,         768,         466,          38,           5,           9,  185105.718,
,"37025 ALDEHUELA DE LA BOVEDA",          29,        7903,        1515,        1481,          34,        7897,        3041,          33,          28,          55, 1392058.226,
,"37026 ALDEHUELA DE YELTES",         115,        4081,         785,         765,          19,        3453,        2220,         138,          17,          51,  773286.214,
,"37027 ALMENARA DE TORMES",          31,         696,         616,         515,         101,         628,         202,          44,           3,          29,  266963.567,
,"37028 ALMENDRA",          37,        2878,         517,         517,           .,        2565,         566,          63,           3,          44,  247845.372,
,"37029 ANAYA DE ALBA",          96,        2809,        1316,        1304,          12,        2687,        1234,         109,          13,          43,  658312.598,
,"37030 AÑOVER DE TORMES",          33,        1482,         624,         624,           1,        1322,         467,          60,           2,          35,  309088.505,
,"37031 ARABAYONA DE MOGICA",         129,        2102,        2025,        1686,         339,        2101,         255,         149,           1,         111,   733379.01,
,"37032 ARAPILES",          48,        2318,        1850,        1847,           4,        2247,         860,          56,          11,          52,  586984.482,
,"37033 ARCEDIANO",          27,         469,         460,         448,          13,         460,          57,          55,           1,          20,  131008.619,
,"37034 ARCO (EL)",          17,         415,         277,         263,          14,         360,         122,          22,           1,          13,  105790.151,
,"37035 ARMENTEROS",          66,        4012,         540,         540,           .,        3951,        1652,          79,          18,          31,  709753.224,
,"37036 SAN MIGUEL DEL ROBLEDO",          34,         873,          12,           3,           9,          53,          48,          50,           4,           6,   33079.706,
,"37037 ATALAYA (LA)",          82,        2387,         941,         941,           .,        1937,         441,         104,           2,          24,  284957.869,
,"37038 BABILAFUENTE",         145,        1888,        1800,         477,        1323,        1824,         390,         176,           5,          89, 1036162.898,
,"37039 BAÑOBAREZ",         106,        5310,         626,         626,           .,        4793,        1373,         115,           6,          51,  593379.251,
,"37040 BARBADILLO",         129,        3626,        1963,        1729,         233,        3457,        1216,         130,          13,          50,  857566.141,
,"37041 BARBALOS",          66,        3599,          63,          62,           1,        3090,        1306,          77,          10,          16,   482107.87,
,"37042 BARCEO",          17,        1726,         264,         264,           .,        1006,         675,          28,           .,          25,  284104.432,
,"37044 BARRUECOPARDO",          93,        3041,         577,         577,           .,        2757,        1053,          96,           1,          28,  422968.279,
,"37045 BASTIDA (LA)",          25,        1886,          12,           5,           8,          90,          85,          33,           5,           .,   43008.426,
,"37046 BEJAR",         118,        2445,          24,           7,          16,        2038,        1081,         131,          14,          35,  509556.092,
,"37047 BELEÑA",          15,        1923,         296,         293,           3,        1592,         737,          23,           9,          19,   309839.77,
,"37049 BERMELLAR",          59,        2002,         603,         603,           .,        1541,         521,          83,           2,          23,  239371.101,
,"37050 BERROCAL DE HUEBRA",          54,        4060,         414,         410,           4,        3858,        1680,          60,           8,          40,   660884.93,
,"37051 BERROCAL DE SALVATIERRA",          32,        2424,           .,           .,           .,        2424,         781,          53,           1,           4,  321799.911,
,"37052 BOADA",          78,        2221,         431,         430,           1,        2143,        1127,          77,           1,          15,  461979.974,
,"37054 BODON (EL)",          82,        4291,         755,         748,           7,        3102,        1520,          89,           4,          44,  639711.274,
,"37055 BOGAJO",          63,        2645,         680,         680,           1,        1926,         762,          94,           1,          18,  351628.142,
,"37056 BOUZA (LA)",          23,        1141,         160,         160,           .,         852,         189,          38,           1,           4,   86720.037,
,"37057 BOVEDA DEL RIO ALMAR",          74,        2128,        2015,        1941,          74,        2126,        1076,          95,           6,          56,  726275.047,
,"37058 BRINCONES",          19,        1367,         332,         332,           .,        1297,         395,          45,          10,          17,  180586.107,
,"37059 BUENAMADRE",          35,        4314,         460,         414,          46,        4297,        1562,          45,          21,          21,  718383.758,
,"37060 BUENAVISTA",          27,        2697,         262,         258,           5,        2697,        1128,          34,          10,          19,  478988.617,
,"37061 CABACO (EL)",          66,        4327,         307,         283,          23,        2494,        1304,         102,          21,          23,  477990.937,
,"37062 CABEZABELLOSA DE LA CALZADA",          37,        1079,        1036,         965,          71,        1065,         144,          76,           1,          32,  326758.261,
,"37063 CABEZA DE BEJAR (LA)",          51,        1056,          12,          12,           .,         667,         536,          70,           2,          12,  216779.056,
,"37065 CABEZA DEL CABALLO",         121,        4397,        1358,        1357,           1,        4390,        1592,         172,           1,         114,  721310.687,
,"37067 CABRERIZOS",          93,         744,         715,         502,         213,         715,         405,          99,           8,          52,   480136.55,
,"37068 CABRILLAS",          65,        3059,        1760,        1754,           6,        3059,        1027,          74,           3,          51,  611475.725,
,"37069 CALVARRASA DE ABAJO",         235,        2807,        2499,         692,        1807,        2799,         958,         386,          11,         237, 1805121.825,
,"37070 CALVARRASA DE ARRIBA",         102,        2840,        2631,        2574,          57,        2837,         613,         158,           4,          77,  742003.534,
,"37071 CALZADA DE BEJAR (LA)",          62,         543,           5,           4,           1,         543,         543,          80,           2,          13,  236666.546,
,"37072 CALZADA DE DON DIEGO",          64,       12791,        6783,        6569,         214,        9482,        3519,          64,          72,          96, 2160945.031,
,"37073 CALZADA DE VALDUNCIEL",          81,        1992,        1916,        1858,          58,        1992,         670,         117,           6,          78,  674539.925,
,"37074 CAMPILLO DE AZABA",          92,        4711,         507,         454,          54,        3450,        2031,         125,          19,          26,  745321.121,
,"37077 CAMPO DE PEÑARANDA (EL)",         130,        4088,        3768,        3438,         330,        4051,         852,         171,          10,         104, 1286778.936,
,"37078 CANDELARIO",          73,        5320,          13,          12,           1,        3498,         486,          91,          14,          11,  618453.476,
,"37079 CANILLAS DE ABAJO",          46,        3083,        2443,        2442,           1,        3081,         674,          51,           2,          58,  736011.443,
,"37080 CANTAGALLO",          74,         681,          12,          10,           2,         532,         228,         106,           7,          20,  107617.227,
,"37081 CANTALAPIEDRA",         137,        6219,        5874,        5082,         793,        6056,         792,         172,          32,         126, 1793083.553,
